rate_hz,mn9_left_hz,mn9_left_sd,mn9_right_hz,mn9_right_sd,mn9_mean_hz
10,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.000000
40,5.266667,4.304520,4.200000,3.409790,4.733333
60,36.566667,4.208589,27.566667,3.921593,32.066667
80,56.400000,4.834598,41.500000,4.349329,48.950000
120,75.033333,4.430826,53.833333,5.329686,64.433333
160,84.800000,4.230051,58.233333,4.730633,71.516667
200,92.900000,5.539856,62.233333,4.287061,77.566667
