# MaleCNS v1.0 soma positions, every 7th of 141781 by bodyId order (deterministic, FR-PRP-09)
bodyId,x,y,z
11971,74226,19732,24976
11978,39218,34413,18043
11986,62404,38481,33760
11993,32632,25514,15458
12001,74076,11515,25436
12008,35874,20676,15932
12017,62616,17348,35234
12025,34696,27206,37959
12032,67030,31950,27092
12039,36906,40854,19666
12048,24872,31024,25664
12055,55766,19356,36244
12062,51034,6752,24760
12069,54518,24645,37883
12076,45292,46644,24760
12084,33107,10122,31651
12091,40494,18440,36884
12099,24206,34042,23284
12108,36794,37438,17448
12115,59716,35769,18241
12123,35441,38425,31699
12130,72751,17968,27951
12137,65256,22886,15412
12145,27658,34099,27490
12154,49242,66270,96260
12161,30542,23258,35602
12169,61002,37198,33378
12176,60231,28405,19340
12183,58899,36220,18114
12190,71716,29823,43283
12198,60716,52374,110194
12206,38968,22169,13544
12213,61121,30512,14056
12220,57415,17929,34020
12228,59424,39202,19480
12235,51354,18858,35150
12242,36938,32360,18710
12250,34947,16671,16035
12257,55561,15450,36070
12264,72229,18015,26978
12273,54473,22026,37018
12282,35946,21981,35869
12289,22253,20752,21827
12296,46003,16931,32320
12306,55859,28051,38338
12313,41466,20086,13400
12321,45358,11132,27660
12328,33316,22117,37370
12335,52853,63382,81052
12343,72358,14940,26021
12350,41978,45885,20779
12357,60844,19812,15411
12364,34980,40405,27774
12373,50659,11999,28046
12380,55516,16952,35328
12388,45432,11096,28902
12396,30113,23294,36089
12403,48128,16314,32515
12410,35024,38950,33630
12418,47176,15360,29348
12425,62742,32558,15650
12432,41196,37532,17718
12439,29762,22480,36414
12447,36357,37153,33912
12454,60630,29552,21266
12461,70420,32840,24982
12470,50238,47890,28251
12477,75303,17783,20578
12487,44249,19534,13618
12494,34626,31326,18324
12502,55018,34406,15214
12509,54287,20441,11343
12516,49705,45505,30251
12523,47648,6778,19174
12530,61300,29596,13490
12538,27170,34234,26866
12545,58436,34776,15102
12553,60254,35358,16422
12562,60624,36565,20080
12569,43770,16337,33495
12576,61222,38660,32696
12585,23770,20730,25334
12592,72779,10080,27115
12600,38944,37724,13997
12608,35378,38784,32768
12616,49576,11298,26372
12623,53603,20775,37918
12630,22901,23853,26508
12638,23188,22397,28046
12646,36584,17210,35642
12653,63190,24307,13040
12662,21289,22546,24176
12670,38644,41468,18324
12677,32828,22608,17510
12684,89221,42044,32377
12691,61991,22555,36406
12700,49344,63841,93169
12707,45396,10222,27842
12715,51358,19364,11684
12722,42931,20731,14036
12729,25094,15982,24984
12737,73298,27594,23674
12745,62830,38904,31082
12752,64480,41106,30364
12760,72606,28894,20896
12767,59444,29370,19248
12775,51570,45170,20622
12783,74077,15266,29055
12790,54479,18722,35848
12797,33844,23304,16589
12804,59404,39018,23142
12812,44357,39392,14696
12819,59620,40303,21008
12826,62506,34998,17484
12835,73870,16020,25771
12843,40464,19080,36614
12851,53542,44006,19467
12858,43818,14867,30189
12867,48478,6561,20032
12875,65320,40894,28928
12882,73768,14756,25134
12890,36932,40934,25054
12898,72186,15830,33166
12905,56476,21220,37596
12912,24779,33816,25479
12919,32856,16278,34634
12927,73885,22656,20905
12934,33637,29979,14327
12942,58114,24902,37775
12949,60940,23536,36336
